source_dataset,source_species,project_species,original_filename,destination_filename,destination_path,image_width,image_height,channels,file_size_bytes
WOOD-AUTH,Category 2 (Walnut),walnut,1217_2.jpg,test_1217_2.jpg,data/wood_species/raw/walnut/test_1217_2.jpg,200,200,3,5040
WOOD-AUTH,Category 2 (Walnut),walnut,1218_2.jpg,test_1218_2.jpg,data/wood_species/raw/walnut/test_1218_2.jpg,200,200,3,4532
WOOD-AUTH,Category 2 (Walnut),walnut,1219_2.jpg,test_1219_2.jpg,data/wood_species/raw/walnut/test_1219_2.jpg,200,200,3,4667
WOOD-AUTH,Category 2 (Walnut),walnut,1220_2.jpg,test_1220_2.jpg,data/wood_species/raw/walnut/test_1220_2.jpg,200,200,3,4896
WOOD-AUTH,Category 2 (Walnut),walnut,1221_2.jpg,test_1221_2.jpg,data/wood_species/raw/walnut/test_1221_2.jpg,200,200,3,6924
WOOD-AUTH,Category 2 (Walnut),walnut,1222_2.jpg,test_1222_2.jpg,data/wood_species/raw/walnut/test_1222_2.jpg,200,200,3,6840
WOOD-AUTH,Category 2 (Walnut),walnut,1223_2.jpg,test_1223_2.jpg,data/wood_species/raw/walnut/test_1223_2.jpg,200,200,3,6856
WOOD-AUTH,Category 2 (Walnut),walnut,1224_2.jpg,test_1224_2.jpg,data/wood_species/raw/walnut/test_1224_2.jpg,200,200,3,6857
WOOD-AUTH,Category 2 (Walnut),walnut,1225_2.jpg,test_1225_2.jpg,data/wood_species/raw/walnut/test_1225_2.jpg,200,200,3,8259
WOOD-AUTH,Category 2 (Walnut),walnut,1226_2.jpg,test_1226_2.jpg,data/wood_species/raw/walnut/test_1226_2.jpg,200,200,3,8032
WOOD-AUTH,Category 2 (Walnut),walnut,1227_2.jpg,test_1227_2.jpg,data/wood_species/raw/walnut/test_1227_2.jpg,200,200,3,8507
WOOD-AUTH,Category 2 (Walnut),walnut,1228_2.jpg,test_1228_2.jpg,data/wood_species/raw/walnut/test_1228_2.jpg,200,200,3,8393
WOOD-AUTH,Category 2 (Walnut),walnut,1229_2.jpg,test_1229_2.jpg,data/wood_species/raw/walnut/test_1229_2.jpg,200,200,3,8197
WOOD-AUTH,Category 2 (Walnut),walnut,1230_2.jpg,test_1230_2.jpg,data/wood_species/raw/walnut/test_1230_2.jpg,200,200,3,8344
WOOD-AUTH,Category 2 (Walnut),walnut,1231_2.jpg,test_1231_2.jpg,data/wood_species/raw/walnut/test_1231_2.jpg,200,200,3,8034
WOOD-AUTH,Category 2 (Walnut),walnut,1232_2.jpg,test_1232_2.jpg,data/wood_species/raw/walnut/test_1232_2.jpg,200,200,3,8256
WOOD-AUTH,Category 2 (Walnut),walnut,1233_2.jpg,test_1233_2.jpg,data/wood_species/raw/walnut/test_1233_2.jpg,200,200,3,6208
WOOD-AUTH,Category 2 (Walnut),walnut,1234_2.jpg,test_1234_2.jpg,data/wood_species/raw/walnut/test_1234_2.jpg,200,200,3,5843
WOOD-AUTH,Category 2 (Walnut),walnut,1235_2.jpg,test_1235_2.jpg,data/wood_species/raw/walnut/test_1235_2.jpg,200,200,3,6321
WOOD-AUTH,Category 2 (Walnut),walnut,1236_2.jpg,test_1236_2.jpg,data/wood_species/raw/walnut/test_1236_2.jpg,200,200,3,5575
WOOD-AUTH,Category 2 (Walnut),walnut,1237_2.jpg,test_1237_2.jpg,data/wood_species/raw/walnut/test_1237_2.jpg,200,200,3,3904
WOOD-AUTH,Category 2 (Walnut),walnut,1238_2.jpg,test_1238_2.jpg,data/wood_species/raw/walnut/test_1238_2.jpg,200,200,3,3748
WOOD-AUTH,Category 2 (Walnut),walnut,1239_2.jpg,test_1239_2.jpg,data/wood_species/raw/walnut/test_1239_2.jpg,200,200,3,3971
WOOD-AUTH,Category 2 (Walnut),walnut,1240_2.jpg,test_1240_2.jpg,data/wood_species/raw/walnut/test_1240_2.jpg,200,200,3,3820
WOOD-AUTH,Category 2 (Walnut),walnut,1241_2.jpg,test_1241_2.jpg,data/wood_species/raw/walnut/test_1241_2.jpg,200,200,3,4243
WOOD-AUTH,Category 2 (Walnut),walnut,1242_2.jpg,test_1242_2.jpg,data/wood_species/raw/walnut/test_1242_2.jpg,200,200,3,3913
WOOD-AUTH,Category 2 (Walnut),walnut,1243_2.jpg,test_1243_2.jpg,data/wood_species/raw/walnut/test_1243_2.jpg,200,200,3,4291
WOOD-AUTH,Category 2 (Walnut),walnut,1244_2.jpg,test_1244_2.jpg,data/wood_species/raw/walnut/test_1244_2.jpg,200,200,3,4034
