source_dataset,source_species,project_species,original_filename,source_path,split,destination_path,image_width,image_height,channels,random_seed
WOOD-AUTH,Category 4 (Oak),oak,302_4.jpg,data/wood_species/raw/oak/train_302_4.jpg,train,data/wood_species/splits/train/oak/train_302_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1902_4.jpg,data/wood_species/raw/oak/test_1902_4.jpg,train,data/wood_species/splits/train/oak/test_1902_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,348_4.jpg,data/wood_species/raw/oak/train_348_4.jpg,train,data/wood_species/splits/train/oak/train_348_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1942_4.jpg,data/wood_species/raw/oak/test_1942_4.jpg,train,data/wood_species/splits/train/oak/test_1942_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,337_4.jpg,data/wood_species/raw/oak/train_337_4.jpg,train,data/wood_species/splits/train/oak/train_337_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,78_4.jpg,data/wood_species/raw/oak/train_78_4.jpg,train,data/wood_species/splits/train/oak/train_78_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,195_4.jpg,data/wood_species/raw/oak/train_195_4.jpg,train,data/wood_species/splits/train/oak/train_195_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,221_4.jpg,data/wood_species/raw/oak/train_221_4.jpg,train,data/wood_species/splits/train/oak/train_221_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,25_4.jpg,data/wood_species/raw/oak/train_25_4.jpg,train,data/wood_species/splits/train/oak/train_25_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1933_4.jpg,data/wood_species/raw/oak/test_1933_4.jpg,train,data/wood_species/splits/train/oak/test_1933_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,166_4.jpg,data/wood_species/raw/oak/train_166_4.jpg,train,data/wood_species/splits/train/oak/train_166_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,274_4.jpg,data/wood_species/raw/oak/train_274_4.jpg,train,data/wood_species/splits/train/oak/train_274_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1840_4.jpg,data/wood_species/raw/oak/test_1840_4.jpg,train,data/wood_species/splits/train/oak/test_1840_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1839_4.jpg,data/wood_species/raw/oak/test_1839_4.jpg,train,data/wood_species/splits/train/oak/test_1839_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1830_4.jpg,data/wood_species/raw/oak/test_1830_4.jpg,train,data/wood_species/splits/train/oak/test_1830_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1873_4.jpg,data/wood_species/raw/oak/test_1873_4.jpg,train,data/wood_species/splits/train/oak/test_1873_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,2010_4.jpg,data/wood_species/raw/oak/test_2010_4.jpg,train,data/wood_species/splits/train/oak/test_2010_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,299_4.jpg,data/wood_species/raw/oak/train_299_4.jpg,train,data/wood_species/splits/train/oak/train_299_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1866_4.jpg,data/wood_species/raw/oak/test_1866_4.jpg,train,data/wood_species/splits/train/oak/test_1866_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,168_4.jpg,data/wood_species/raw/oak/train_168_4.jpg,train,data/wood_species/splits/train/oak/train_168_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,237_4.jpg,data/wood_species/raw/oak/train_237_4.jpg,train,data/wood_species/splits/train/oak/train_237_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,275_4.jpg,data/wood_species/raw/oak/train_275_4.jpg,train,data/wood_species/splits/train/oak/train_275_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,277_4.jpg,data/wood_species/raw/oak/train_277_4.jpg,train,data/wood_species/splits/train/oak/train_277_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1921_4.jpg,data/wood_species/raw/oak/test_1921_4.jpg,train,data/wood_species/splits/train/oak/test_1921_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1857_4.jpg,data/wood_species/raw/oak/test_1857_4.jpg,train,data/wood_species/splits/train/oak/test_1857_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,123_4.jpg,data/wood_species/raw/oak/train_123_4.jpg,train,data/wood_species/splits/train/oak/train_123_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,223_4.jpg,data/wood_species/raw/oak/train_223_4.jpg,train,data/wood_species/splits/train/oak/train_223_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,266_4.jpg,data/wood_species/raw/oak/train_266_4.jpg,train,data/wood_species/splits/train/oak/train_266_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,392_4.jpg,data/wood_species/raw/oak/train_392_4.jpg,train,data/wood_species/splits/train/oak/train_392_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,133_4.jpg,data/wood_species/raw/oak/train_133_4.jpg,train,data/wood_species/splits/train/oak/train_133_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,333_4.jpg,data/wood_species/raw/oak/train_333_4.jpg,train,data/wood_species/splits/train/oak/train_333_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,91_4.jpg,data/wood_species/raw/oak/train_91_4.jpg,train,data/wood_species/splits/train/oak/train_91_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,130_4.jpg,data/wood_species/raw/oak/train_130_4.jpg,train,data/wood_species/splits/train/oak/train_130_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,379_4.jpg,data/wood_species/raw/oak/train_379_4.jpg,train,data/wood_species/splits/train/oak/train_379_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,308_4.jpg,data/wood_species/raw/oak/train_308_4.jpg,train,data/wood_species/splits/train/oak/train_308_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1995_4.jpg,data/wood_species/raw/oak/test_1995_4.jpg,train,data/wood_species/splits/train/oak/test_1995_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,172_4.jpg,data/wood_species/raw/oak/train_172_4.jpg,train,data/wood_species/splits/train/oak/train_172_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,372_4.jpg,data/wood_species/raw/oak/train_372_4.jpg,train,data/wood_species/splits/train/oak/train_372_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,328_4.jpg,data/wood_species/raw/oak/train_328_4.jpg,train,data/wood_species/splits/train/oak/train_328_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1968_4.jpg,data/wood_species/raw/oak/test_1968_4.jpg,train,data/wood_species/splits/train/oak/test_1968_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1932_4.jpg,data/wood_species/raw/oak/test_1932_4.jpg,train,data/wood_species/splits/train/oak/test_1932_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,55_4.jpg,data/wood_species/raw/oak/train_55_4.jpg,train,data/wood_species/splits/train/oak/train_55_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1891_4.jpg,data/wood_species/raw/oak/test_1891_4.jpg,train,data/wood_species/splits/train/oak/test_1891_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,358_4.jpg,data/wood_species/raw/oak/train_358_4.jpg,train,data/wood_species/splits/train/oak/train_358_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,287_4.jpg,data/wood_species/raw/oak/train_287_4.jpg,train,data/wood_species/splits/train/oak/train_287_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1946_4.jpg,data/wood_species/raw/oak/test_1946_4.jpg,train,data/wood_species/splits/train/oak/test_1946_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,286_4.jpg,data/wood_species/raw/oak/train_286_4.jpg,train,data/wood_species/splits/train/oak/train_286_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,132_4.jpg,data/wood_species/raw/oak/train_132_4.jpg,train,data/wood_species/splits/train/oak/train_132_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,59_4.jpg,data/wood_species/raw/oak/train_59_4.jpg,train,data/wood_species/splits/train/oak/train_59_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,24_4.jpg,data/wood_species/raw/oak/train_24_4.jpg,train,data/wood_species/splits/train/oak/train_24_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1957_4.jpg,data/wood_species/raw/oak/test_1957_4.jpg,train,data/wood_species/splits/train/oak/test_1957_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1977_4.jpg,data/wood_species/raw/oak/test_1977_4.jpg,train,data/wood_species/splits/train/oak/test_1977_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,283_4.jpg,data/wood_species/raw/oak/train_283_4.jpg,train,data/wood_species/splits/train/oak/train_283_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1927_4.jpg,data/wood_species/raw/oak/test_1927_4.jpg,train,data/wood_species/splits/train/oak/test_1927_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,147_4.jpg,data/wood_species/raw/oak/train_147_4.jpg,train,data/wood_species/splits/train/oak/train_147_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,247_4.jpg,data/wood_species/raw/oak/train_247_4.jpg,train,data/wood_species/splits/train/oak/train_247_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,2005_4.jpg,data/wood_species/raw/oak/test_2005_4.jpg,train,data/wood_species/splits/train/oak/test_2005_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1886_4.jpg,data/wood_species/raw/oak/test_1886_4.jpg,train,data/wood_species/splits/train/oak/test_1886_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1973_4.jpg,data/wood_species/raw/oak/test_1973_4.jpg,train,data/wood_species/splits/train/oak/test_1973_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1959_4.jpg,data/wood_species/raw/oak/test_1959_4.jpg,train,data/wood_species/splits/train/oak/test_1959_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1916_4.jpg,data/wood_species/raw/oak/test_1916_4.jpg,train,data/wood_species/splits/train/oak/test_1916_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,153_4.jpg,data/wood_species/raw/oak/train_153_4.jpg,train,data/wood_species/splits/train/oak/train_153_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,2019_4.jpg,data/wood_species/raw/oak/test_2019_4.jpg,train,data/wood_species/splits/train/oak/test_2019_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,312_4.jpg,data/wood_species/raw/oak/train_312_4.jpg,train,data/wood_species/splits/train/oak/train_312_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,236_4.jpg,data/wood_species/raw/oak/train_236_4.jpg,train,data/wood_species/splits/train/oak/train_236_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1935_4.jpg,data/wood_species/raw/oak/test_1935_4.jpg,train,data/wood_species/splits/train/oak/test_1935_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1842_4.jpg,data/wood_species/raw/oak/test_1842_4.jpg,train,data/wood_species/splits/train/oak/test_1842_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1998_4.jpg,data/wood_species/raw/oak/test_1998_4.jpg,train,data/wood_species/splits/train/oak/test_1998_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,46_4.jpg,data/wood_species/raw/oak/train_46_4.jpg,train,data/wood_species/splits/train/oak/train_46_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,344_4.jpg,data/wood_species/raw/oak/train_344_4.jpg,train,data/wood_species/splits/train/oak/train_344_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,324_4.jpg,data/wood_species/raw/oak/train_324_4.jpg,train,data/wood_species/splits/train/oak/train_324_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1961_4.jpg,data/wood_species/raw/oak/test_1961_4.jpg,train,data/wood_species/splits/train/oak/test_1961_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,113_4.jpg,data/wood_species/raw/oak/train_113_4.jpg,train,data/wood_species/splits/train/oak/train_113_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,84_4.jpg,data/wood_species/raw/oak/train_84_4.jpg,train,data/wood_species/splits/train/oak/train_84_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,38_4.jpg,data/wood_species/raw/oak/train_38_4.jpg,train,data/wood_species/splits/train/oak/train_38_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,141_4.jpg,data/wood_species/raw/oak/train_141_4.jpg,train,data/wood_species/splits/train/oak/train_141_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,193_4.jpg,data/wood_species/raw/oak/train_193_4.jpg,train,data/wood_species/splits/train/oak/train_193_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1994_4.jpg,data/wood_species/raw/oak/test_1994_4.jpg,train,data/wood_species/splits/train/oak/test_1994_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,178_4.jpg,data/wood_species/raw/oak/train_178_4.jpg,train,data/wood_species/splits/train/oak/train_178_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,62_4.jpg,data/wood_species/raw/oak/train_62_4.jpg,train,data/wood_species/splits/train/oak/train_62_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,158_4.jpg,data/wood_species/raw/oak/train_158_4.jpg,train,data/wood_species/splits/train/oak/train_158_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,128_4.jpg,data/wood_species/raw/oak/train_128_4.jpg,train,data/wood_species/splits/train/oak/train_128_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,1832_4.jpg,data/wood_species/raw/oak/test_1832_4.jpg,train,data/wood_species/splits/train/oak/test_1832_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,381_4.jpg,data/wood_species/raw/oak/train_381_4.jpg,train,data/wood_species/splits/train/oak/train_381_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,398_4.jpg,data/wood_species/raw/oak/train_398_4.jpg,train,data/wood_species/splits/train/oak/train_398_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,284_4.jpg,data/wood_species/raw/oak/train_284_4.jpg,train,data/wood_species/splits/train/oak/train_284_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,281_4.jpg,data/wood_species/raw/oak/train_281_4.jpg,train,data/wood_species/splits/train/oak/train_281_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,385_4.jpg,data/wood_species/raw/oak/train_385_4.jpg,train,data/wood_species/splits/train/oak/train_385_4.jpg,200,200,3,42
WOOD-AUTH,Category 4 (Oak),oak,198_4.jpg,data/wood_species/raw/oak/train_198_4.jpg,train,data/wood_species/splits/train/oak/train_198_4.jpg,200,200,3,42
